id,ChapterName,difficulty_1_to_5,difficulty_reason,covered_model_count,difficulty_model_count,raw_solved_count,solved_with_reasoning_count,small_model_solved_count,failed_count,difficulty_failed_models,gpt5_manual_label,qwen3_4b_manual_label,qwen2_5_7b_manual_label,gemma3_4b_manual_label,mistral3_3b_manual_label,gpt5_judge_label,qwen3_4b_judge_label,qwen2_5_7b_judge_label,gemma3_4b_judge_label,mistral3_3b_judge_label,llama3_2_3b_judge_label,failed_models,non_genuine_failure_models_from_notes,dominant_error_types,manual_note,expected_final_answer
184,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,gemma3_4b",1,1,0,0,1,1,1,0,0,1,0,"qwen2_5_7b,gemma3_4b",,"question_misinterpretation,arithmetic_or_algebra_error","Gemma: Gemma direct chain rule করতে গিয়ে \(\cos(2\theta)\) ভুল করেছে। তার \(\cos2\theta=\frac{3-x}{1+x}\) এসেছে, কিন্তু সঠিকভাবে \(\cos2\theta=x\)। তাই derivative ভুল হয়েছে। Qwen2.5: 2 দিয়েছে। সে হঠাৎ \(y=2x\) ধরে ফেলেছে, কোনো valid trigonometric simplification ছাড়াই।",$\frac{-x}{\sqrt{1-x^2}}$
185,অন্তরীকরণ,4,"1/4 small models solved with proper reasoning; failed small models: qwen3_4b,gemma3_4b,mistral3_3b; GPT-5 excluded from difficulty score",5,4,2,2,1,3,"qwen3_4b,gemma3_4b,mistral3_3b",1,0,1,0,0,1,0,1,0,0,1,"qwen3_4b,gemma3_4b,mistral3_3b",,arithmetic_or_algebra_error,"Gemma: 8 দিয়েছে, negative sign বাদ। Qwen3: 8 দিয়েছে, একই sign error। Mistral: 8 দিয়েছে, sign বাদ।",$-8$
186,অন্তরীকরণ,4,"1/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,1,1,1,4,"qwen2_5_7b,gemma3_4b,mistral3_3b",0,1,0,0,0,0,1,0,0,0,0,"gpt5,qwen2_5_7b,gemma3_4b,mistral3_3b",,"format_or_final_extraction,question_misinterpretation","Gemma: Gemma \(\ln y\)-এর derivative বের করেছে, কিন্তু শেষে \(y\) দিয়ে multiply করতে ভুলেছে। অর্থাৎ \(\frac{y'}{y}\)-কেই \(y'\) ধরে নিয়েছে। Qwen2.5: final blank/incomplete। সে variable exponent differentiation formula ভুলভাবে শুরু করেছে এবং শেষ করেনি। Mistral: \(x^{x/2}\) ধরে ফেলেছে, কিন্তু সঠিক হলো \(x^{\sqrt{x}/2}\)। exponent ভুল হওয়ায় derivative ভুল। GPT-5: integration করেছে, differentiation নয়; final blank।",$\frac{1}{2}\cdot(\sqrt{x})^{\sqrt{x}-1}\left(\frac{1}{2}\ln x+1\right)$
187,অন্তরীকরণ,2,3/4 small models solved with proper reasoning; failed small models: qwen2_5_7b; GPT-5 excluded from difficulty score,5,4,4,4,3,1,qwen2_5_7b,1,1,0,1,1,0,1,0,1,1,0,qwen2_5_7b,,arithmetic_or_algebra_error,"Qwen2.5: \(-\frac12\) দিয়েছে। সে chain rule করে মাঝপথে \((1-x)\) factor cancel করে ফেলেছে, যা cancel হওয়ার কথা নয়।",$\frac{x-1}{2}$
188,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$1$
189,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$4$
190,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,"$\left(1,\frac{7}{3}\right), \left(-1,\frac{5}{3}\right)$"
191,অন্তরীকরণ,4,"1/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,mistral3_3b; GPT-5 excluded from difficulty score",5,4,1,1,1,4,"qwen3_4b,qwen2_5_7b,mistral3_3b",0,0,0,1,0,0,0,0,1,0,0,"gpt5,qwen3_4b,qwen2_5_7b,mistral3_3b",,"arithmetic_or_algebra_error,no_or_insufficient_reasoning,missing_case_or_domain_error","Qwen3: \(x\)-values ঠিক পেয়েছে, কিন্তু cube root ভুল করেছে: \[ \sqrt[3]{32a^3}\neq 2a \] সঠিক: \[ \sqrt[3]{32a^3}=2a\sqrt[3]{4} \] Qwen2.5: একই cube-root ভুল, এবং \(y=\frac{4a}{3}\) দিয়েছে। Mistral: \((0,0)\) বাদ দিয়েছে এবং cube-root-এ \(\sqrt[3]{4}\)-এর বদলে \(\sqrt[3]{2}\) দিয়েছে। GPT-5: দ্বিতীয় বিন্দুটি equivalent form-এ ঠিক, কিন্তু \((0,0)\) বাদ দিয়েছে; expected অনুযায়ী incomplete।","$(0,0), \left(\frac{4a}{3}, \frac{2a}{3}\sqrt[3]{4}\right)$"
192,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,mistral3_3b",1,1,0,1,0,1,1,0,1,0,0,"qwen2_5_7b,mistral3_3b",,"arithmetic_or_algebra_error,question_misinterpretation",Qwen2.5: expression ভুল। সে \(\tan(2\sqrt{x})\)-এর derivative এবং outside \(\frac12\) factor ঠিকভাবে combine করেনি। Mistral: \(e^{\frac12\ln u}=\sqrt u\) না ধরে সরাসরি \(u\) ধরে ফেলেছে। তাই \(\sqrt{\tan}\) factor এবং \(\frac12\) denominator বাদ গেছে।,$\frac{\sec^2(2\sqrt{x})}{2\sqrt{x}(\tan(2\sqrt{x}))^{\frac{1}{2}}}$
193,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,4,4,4,1,,0,1,1,1,1,0,1,1,1,1,0,gpt5,,formula_or_method_error,"GPT-5: integration করেছে: \[ \int \log_a x\,dx \] তাই antiderivative দিয়েছে, derivative নয়।",$(\log_a e)\frac{1}{x}$
194,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,1,,,,,$2$
195,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,gemma3_4b",1,1,0,0,1,1,1,0,0,1,0,"qwen2_5_7b,gemma3_4b",,"arithmetic_or_algebra_error,format_or_final_extraction","Gemma: incomplete; final answer দেয়নি, শুধু আরও বিশ্লেষণ দরকার বলেছে। Qwen3: সঠিক। Qwen2.5: \(x\)-values ঠিক, কিন্তু \(y\)-value ভুল করেছে। \(\left(\frac73-3\right)^2=\left(-\frac23\right)^2=\frac49\), এবং \(\frac73-2=\frac13\), তাই \(y=\frac{4}{27}\), \(\frac{1}{27}\) নয়।","$(3,0)$ ও $\left(\frac{7}{3}, \frac{4}{27}\right)$"
197,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,2,3,"gemma3_4b,mistral3_3b",0,1,1,0,0,0,1,1,0,0,0,"gpt5,gemma3_4b,mistral3_3b",,"format_or_final_extraction,arithmetic_or_algebra_error,no_or_insufficient_reasoning","Gemma: quotient rule-এ ভুল করেছে। \(a+bx\)-এর derivative \(b\), আর \(b-ax\)-এর derivative \(-a\)। Gemma numerator-এ ভুল expression বানিয়েছে, তাই final complicated ও wrong হয়েছে। Mistral: function-টিকে \(\tan^{-1}(a/b)+\tan^{-1}x\) হিসেবে লিখেছে, কিন্তু derivative দেয়নি। তার final derivative নয়, তাই answer incomplete/wrong। GPT-5: আবার integration করেছে। যদিও detailed অংশে derivative \(\frac1{1+x^2}\) পেয়েছিল, final answer antiderivative দিয়েছে। তাই final wrong।",$\frac{1}{1+x^2}$
198,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$2\ln a$
199,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$\frac{dy}{dx}=\frac{2x}{10y+\cos y}$
200,অন্তরীকরণ,2,3/4 small models solved with proper reasoning; failed small models: qwen2_5_7b; GPT-5 excluded from difficulty score,5,4,4,4,3,1,qwen2_5_7b,1,1,0,1,1,1,1,0,1,1,1,qwen2_5_7b,,format_or_final_extraction,Qwen2.5: final blank; solution complete করেনি।,"$\left(\frac{3}{2}, -\frac{1}{4}\right)$"
201,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"gemma3_4b,mistral3_3b",1,1,1,0,0,0,1,1,0,0,0,"gemma3_4b,mistral3_3b",,"arithmetic_or_algebra_error,formula_or_method_error",Gemma extra terms রেখেছে: \[ \frac{(1-x^2)\log x+2x^2+1}{(1+x^2)\sqrt{1+x^2}} \] এখানে product/quotient simplification-এ \(x^2\log x\) cancellation ঠিক হয়নি। Mistral: denominator-এ original function-এর মতো \(x\log x(1+x^2)\) বসিয়ে ফেলেছে; derivative formula ভুলভাবে সাজিয়েছে।,$\frac{1+x^2+\log x}{(\sqrt{1+x^2})^3}$
202,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,0,0,0,0,0,0,,,,"সব মডেল: সব মডেল final answer হিসেবে \(\frac{\pi}{2}\) দিয়েছে। কিন্তু প্রশ্ন ছিল “অন্তরক সহগ নির্ণয় কর”, অর্থাৎ derivative চাই। Function constant \(\frac{\pi}{2}\) হলে derivative \(0\)। তাই সবাই function value পর্যন্ত গিয়ে derivative নিতে ভুলেছে।",$\frac{dy}{dx}=0$
203,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$\frac{1}{2}$
204,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,4,4,4,1,,0,1,1,1,1,0,1,0,1,1,0,gpt5,qwen2_5_7b,question_misinterpretation,"Qwen2.5: \(\frac{\sqrt3}{21}\) দিয়েছে, যা expected-এর equivalent। Label 0 false negative। GPT-5: ভুলভাবে tangent line-কে \((3,0)\) বিন্দু দিয়ে যায় এমন condition ধরে নিয়েছে। কিন্তু expected solution অনুযায়ী এখানে \(x=3\)-এ tangent-এর slope ব্যবহার করতে হবে। তাই GPT-5 extra wrong \(k\) values দিয়েছে।",$k=\frac{1}{7\sqrt{3}}$
205,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"gemma3_4b,mistral3_3b",1,1,1,0,0,1,0,0,0,0,0,"gemma3_4b,mistral3_3b",,"question_misinterpretation,arithmetic_or_algebra_error","Gemma: Gemma \(\frac{x^2-y^2}{xy}\) দিয়েছে। সে log differentiation ঠিকভাবে করেনি; variable exponent \(x^y,y^x\)-এর derivative সরল power rule দিয়ে ধরেছে। Mistral: \(\frac{y\ln y}{y-x}\) দিয়েছে, যা general expression নয়। সে \(y'\) terms ঠিকভাবে collect করেনি।",$\frac{dy}{dx}=\frac{y}{x}\left\{\frac{y-x\ln(y)}{x-y\ln(x)}\right\}$
206,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,2,3,"qwen2_5_7b,mistral3_3b",0,1,0,1,0,0,1,0,1,0,0,"gpt5,qwen2_5_7b,mistral3_3b",,"formula_or_method_error,arithmetic_or_algebra_error","Qwen2.5: \(\log(\pi^2/16)\) দিয়েছে, যা derivative নয়। সে সম্ভবত নির্দিষ্ট মান evaluate করেছে বা expression misread করেছে। Mistral: integration করেছে; \(+C\) সহ antiderivative দিয়েছে। প্রশ্ন derivative ছিল। GPT-5: integration করেছে এবং special functions দিয়েছে; wrong task।",$\frac{1}{\sqrt{1-x^2}}\left(\frac{\cos^{-1}x}{\sin^{-1}x}-\log(\sin^{-1}x)\right)$
207,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,2,3,"qwen2_5_7b,mistral3_3b",0,1,0,1,0,0,0,0,0,0,0,"gpt5,qwen2_5_7b,mistral3_3b",,"format_or_final_extraction,no_or_insufficient_reasoning","Qwen2.5: (i)-তে derivative না দিয়ে \(y\)-এর simplified form দিয়েছে। (ii)-তে \(y=\frac{|x|}{2}\) দিয়েছে, কিন্তু derivative final দেয়নি। তাই incomplete। Mistral: শুধু (ii)-এর \(\frac12\) দিয়েছে, (i) বাদ দিয়েছে। তাই incomplete। GPT-5: (i) সঠিক equivalent দিয়েছে। (ii)-তে branch-wise derivative দিয়েছে; expected answer সরল branch ধরে \(\frac12\)। তার answer বেশি general, কিন্তু expected format থেকে আলাদা।","$(i)\ \frac{dy}{dx}=1+\frac{3}{2(x-1)}-\frac{3}{2(x+1)}$, $(ii)\ \frac{dy}{dx}=\frac{1}{2}$"
208,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$\cos y$
209,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,1,,,,,$\ln2$
210,অন্তরীকরণ,2,3/4 small models solved with proper reasoning; failed small models: mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score,5,4,4,4,3,1,mistral3_3b,1,1,1,1,0,1,1,1,1,0,0,mistral3_3b,,question_misinterpretation,"Mistral: denominator-এ \(x\cot y=\frac{x\cos y}{\sin y}\) হওয়া উচিত, কিন্তু সে \(\frac{x\cos y}{y}\) লিখেছে। তাই ভুল।",$\frac{dy}{dx}=\frac{y\tan x+\ln(\sin y)}{\ln(\cos x)-x\cot y}$
211,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,"$8,-4,8$"
212,অন্তরীকরণ,2,3/4 small models solved with proper reasoning; failed small models: mistral3_3b; GPT-5 excluded from difficulty score,5,4,4,4,3,1,mistral3_3b,1,1,1,1,0,1,1,1,1,0,0,mistral3_3b,,arithmetic_or_algebra_error,Mistral: extra square দিয়েছে: \[ \frac{(1+x^2)^2}{1-2x} \] সে \(y'\) ও \(y''\)-এর ratio নেওয়ার সময় একটি \(1+x^2\) cancel করেনি।,$\frac{1+x^2}{1-2x}$
213,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,2,3,"qwen2_5_7b,mistral3_3b",0,1,0,1,0,0,0,0,0,0,0,"gpt5,qwen2_5_7b,mistral3_3b",,"missing_case_or_domain_error,arithmetic_or_algebra_error,no_or_insufficient_reasoning","Qwen2.5: ক) সঠিক। খ)-তে quotient derivative numerator ভুল করেছে; সঠিক numerator \(3+6x^2+3x^4\), কিন্তু সে \(3+15x^2-6x^4\) জাতীয় ভুল expression দিয়েছে। Mistral: খ)-তে \(\frac{3+6x^2-3x^4}{(1+x^2)^3}\) দিয়েছে, যা \(\frac{3}{1+x^2}\) নয়। ক)-এর final-ও দেয়নি। তাই incomplete/wrong। GPT-5: দুই অংশেই integration করেছে, derivative নয়। তাই wrong task।","ক) $5e^x\left(\frac{1}{x}+\ln x\right)$, খ) $\frac{3}{1+x^2}$"
216,অন্তরীকরণ,4,"1/4 small models solved with proper reasoning; failed small models: qwen3_4b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,2,2,1,3,"qwen3_4b,gemma3_4b,mistral3_3b",1,0,1,0,0,0,0,0,0,0,0,"qwen3_4b,gemma3_4b,mistral3_3b",,"question_misinterpretation,arithmetic_or_algebra_error","Gemma: ভুল করেছে। সে differentiation করার সময় power/product rule ঠিকভাবে প্রয়োগ করেনি এবং শেষ উত্তর দিয়েছে \[ \frac{4(x-1)^3}{9x^{1/3}} \] যা সঠিক derivative-এর সাথে মেলে না। Qwen3: ভুল করেছে। তার উত্তর \[ \frac{(x-1)(5-x)}{3x^{4/3}} \] expand করলে সঠিক numerator পাওয়া যায় না। সঠিক common denominator-এ numerator হওয়া উচিত \[ 5x^2-4x-1 \] Mistral: ভুল করেছে। সে \[ 2(x-1)-\frac{(x-1)^2}{3x} \] ধরেছে, কিন্তু পুরো expression-টি \(x^{-1/3}\) দ্বারা গুণিত ছিল। অর্থাৎ denominator-এর cube-root factor/product rule ঠিকভাবে ধরে রাখেনি।",$\frac{5}{3}x^{\frac{2}{3}}-\frac{4}{3}x^{-\frac{1}{3}}-\frac{1}{3}x^{-\frac{4}{3}}$
217,অন্তরীকরণ,2,3/4 small models solved with proper reasoning; failed small models: mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score,5,4,4,4,3,1,mistral3_3b,1,1,1,1,0,1,1,1,1,1,0,mistral3_3b,,question_misinterpretation,Mistral: এখানে ভুল। প্রথম term-এর derivative-এ সে এমন factor এনেছে: \[ \frac{\sec^2x(1+x)}{\sin x} \] কিন্তু সঠিক factor হওয়া উচিত: \[ x\frac{\sec^2x}{\tan x}=\frac{x}{\sin x\cos x} \] অর্থাৎ logarithmic differentiation-এর chain অংশে অতিরিক্ত/ভুল factor ঢুকিয়েছে।,$(\tan x)^x\left\{\ln(\tan x)+\frac{x}{\sin x\cos x}\right\}+x^{\tan x}\left\{\frac{\tan x}{x}+\ln x.\sec^2x\right\}$
218,অন্তরীকরণ,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,1,1,1,1,0,,,,,$\frac{1}{2}$
219,অন্তরীকরণ,4,"1/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,mistral3_3b; GPT-5 excluded from difficulty score",5,4,2,2,1,3,"qwen3_4b,qwen2_5_7b,mistral3_3b",1,0,0,1,0,1,0,0,1,0,1,"qwen3_4b,qwen2_5_7b,mistral3_3b",,"arithmetic_or_algebra_error,format_or_final_extraction","Qwen3: ভুল। সে final answer \(1/2\) দিয়েছে। সম্ভবত সে ভুলভাবে \(\frac{1-\cos x}{x^2}\to\frac12\) ব্যবহার করেছে, কিন্তু denominator এখানে \(x^2\) নয়, \(\sin x\sim x\)। Qwen2.5: একই ভুল। \(1/2\) এসেছে ভুল standard limit বসানোর কারণে। Mistral: একই ভুল। expression-টা \(\frac{1-\cos x}{\sin x}\), তাই limit \(0\), \(1/2\) নয়।",$0$
220,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"gemma3_4b,mistral3_3b",1,1,1,0,0,0,0,0,0,0,0,"gemma3_4b,mistral3_3b",,"format_or_final_extraction,question_misinterpretation","Gemma: ভুল। সে final answer-এ \(x,y\)-এর factor গুলা reciprocal/position বদলে ফেলেছে। logarithmic differentiation শুরু ঠিক থাকলেও algebraic simplification-এ ভুল হয়েছে। Mistral: ভুল। সে \[ -\frac{x^2+y^2}{xy\ln(xy)} \] ধরেছে, যা log differentiation থেকে আসে না। \(y\ln x+x\ln y\) differentiate করার সময় \(y\) ও \(x\)-কে variable হিসেবে ঠিকভাবে সামলায়নি।",$\frac{dy}{dx}=-\frac{y}{x}\cdot\frac{y+x\ln y}{x+y\ln x}$
221,অন্তরীকরণ,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,1,0,0,0,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,"question_misinterpretation,formula_or_method_error,no_or_insufficient_reasoning","Gemma: ভুল। সে \(n\)-তম derivative বের করেনি; বরং নির্দিষ্ট কোনো lower-order derivative-এর মতো expression দিয়েছে। প্রশ্নের মূল চাহিদা ছিল general \(n\)-th derivative। Qwen3: ভুল। সে summation form দিলেও \(\sin^2x=\frac{1-\cos2x}{2}\) decomposition ঠিকভাবে final formula-তে আনেনি। \(3^n e^{3x}\) অংশ এবং \((\sqrt{13})^n\) amplitude-phase অংশ সঠিকভাবে গঠিত হয়নি। Qwen2.5: incomplete। সে কার্যকর \(n\)-তম derivative formula দেয়নি। Mistral: ভুল। সে trig অংশের derivative-এ শুধু \(2^n\) বা sign-change ধরেছে, কিন্তু \(e^{3x}\cos2x\)-এর derivative হলে exponential ও trig মিলিয়ে amplitude হয় \(\sqrt{3^2+2^2}=\sqrt{13}\), এবং phase shift \(n\theta\) আসে।","$\frac{1}{2}[3^ne^{3x}-r^ne^{3x}\cos(2x+n\theta)]$, $r=\sqrt{13}$, $\theta=\tan^{-1}\frac{2}{3}$"
222,অন্তরীকরণ,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,1,0,0,0,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,arithmetic_or_algebra_error,"Gemma: আংশিক ঠিক, কিন্তু final value ভুল। সে \(x=e\) ধরলেও minimum value \(e^2/2\) দিয়েছে, অথচ \[ f(e)=e \] Qwen3: ভুল। সে \(\infty\) ধরনের answer দিয়েছে, সম্ভবত asymptote বা limit behavior-কে extreme value ভেবে ফেলেছে। কিন্তু প্রশ্নে stationary minimum চাই, যা \(x=e\)-তে। Qwen2.5: ভুল। সে \(e\) উল্লেখ করলেও minimum value হিসেবে \(-1/(2\ln2)\) দিয়েছে, যা এই function-এর critical value নয়। Mistral: value \(e\) পেলেও classification ভুল করেছে। এটিকে maximum বলেছে, কিন্তু derivative sign অনুযায়ী এটি minimum।",$x=e$ এবং লঘুমান $=e$
223,অন্তরীকরণ,3,"2/4 small models solved with proper reasoning; failed small models: qwen2_5_7b,gemma3_4b; GPT-5 excluded from difficulty score",5,4,3,3,2,2,"qwen2_5_7b,gemma3_4b",1,1,0,0,1,1,1,0,0,1,0,"qwen2_5_7b,gemma3_4b",,arithmetic_or_algebra_error,"Gemma: ভুল। সে শুধু \(\cos x\) দিয়েছে। এখানে \(nh\) থাকার কারণে derivative-এর সাথে extra factor \(n\) আসবে, সেটি বাদ দিয়েছে। Qwen2.5: ভুল। সে \(\frac{\cos x}{n}\) দিয়েছে। কিন্তু \(u=nh\) বসালে \(\frac{1}{n}\) নয়, বরং \(n\) factor আসে।",$n\cos x$
225,সমাকলন,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,0,0,0,0,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,"format_or_final_extraction,geometry_condition_error,arithmetic_or_algebra_error","Gemma: ভুল। সে denominator-কে এমনভাবে handle করেছে যেন \(\cos2\theta\)-সহ expression-টা constant-এর মতো integral-এর বাইরে নেওয়া যায়। কিন্তু \[ a+b+(b-a)\cos2\theta \] এখনও \(\theta\)-এর function, constant নয়। Qwen3: ভুল। সে final দিয়েছে \[ \frac{\pi}{2\sqrt{b^2-a^2}} \] কিন্তু সঠিক denominator transformation করলে \(az^2+b\) আসে, \(b^2-a^2\) আসে না। Qwen2.5: incomplete। অনেক trig transformation ঘুরিয়েছে, কিন্তু \(z=\tan\theta\) substitution দিয়ে clean expected form বা final value দেয়নি। Mistral: ভুল। \(\sec^2\theta\) দিয়ে ভাগ করার সময় denominator-এর algebra ভুল করেছে। সঠিকভাবে করলে: \[ a\sin^2\theta+b\cos^2\theta =\frac{az^2+b}{1+z^2} \] কিন্তু সে \(a-b\) type expression বানিয়ে ভুল পথে গেছে।",$\frac{1}{a}\int_0^\infty\frac{dz}{z^2+\left(\sqrt{\frac{b}{a}}\right)^2}$
226,সমাকলন,1,4/4 small models solved with proper reasoning; GPT-5 excluded from difficulty score,5,4,5,5,4,0,,1,1,1,1,1,1,0,1,0,0,0,,,,,$\frac{9}{2}$ বর্গএকক
227,সমাকলন,5,"0/4 small models solved with proper reasoning; failed small models: qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score",5,4,1,1,0,4,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",1,0,0,0,0,0,0,0,0,0,0,"qwen3_4b,qwen2_5_7b,gemma3_4b,mistral3_3b",,"formula_or_method_error,no_or_insufficient_reasoning,question_misinterpretation","Gemma: ভুল। সে \(\frac{2\pi}{3}\) দিয়েছে। অর্থাৎ boundary term \[ -\frac{\sqrt3}{2} \] বাদ পড়ে গেছে। Qwen3: ভুল। সে দিয়েছে \[ \frac{2\pi}{3}-\sqrt3 \] এখানে sine boundary term দ্বিগুণ হয়ে গেছে। সঠিক term \(-\frac{\sqrt3}{2}\)। Qwen2.5: incomplete। repeated generic explanation দিয়েছে, কিন্তু actual integration শেষ করেনি। Mistral: Qwen3-এর মতো একই ভুল: \[ \frac{2\pi}{3}-\sqrt3 \] দিয়েছে। \(\sin(2\pi/3)=\frac{\sqrt3}{2}\), কিন্তু সে effectively \(\sqrt3\) ধরে ফেলেছে।",$\frac{2\pi}{3}-\frac{\sqrt{3}}{2}$
228,সমাকলন,2,3/4 small models solved with proper reasoning; failed small models: gemma3_4b; severe reasoning/interpretation failure present; GPT-5 excluded from difficulty score,5,4,4,4,3,1,gemma3_4b,1,1,1,0,1,1,1,1,0,1,0,gemma3_4b,,question_misinterpretation,Gemma: ভুল। সে \[ \frac{2^{\ln x}}{\ln2}+C \] দিয়েছে। এটা \(x\)-এর respect-এ integration নয়; সে যেন \(2^u\)-এর integral ধরে \(u=\ln x\) নিয়েছে কিন্তু \(du=\frac1x dx\) factor handle করেনি।,$\frac{x^{\ln(2)+1}}{\ln(2)+1}+c$
